"before","category","action","after","reason"
".git","required root-level repository infrastructure","retain",".git","Canonical repository metadata"
"analysis","analysis/validation","retain","analysis","Established analysis and tests"
"artifacts","provenance/audit artifact","retain","artifacts","Established manifests and reports"
"config","configuration","retain","config","Established configuration directory"
"figures","plotting","retain","figures","Established renderer/style helpers"
"plots","generated result","retain","plots","Accepted results/figures and reproducibility-critical caches retained"
"results","generated result","retain","results","Accepted results/figures and reproducibility-critical caches retained"
"src","source/model code","retain","src","Maintained source/construction and diagnostic workflows"
"third_party","cache/dependency source","retain","third_party","Pinned dependency and local-only reference cache; untouched"
"workflows","source/model code","retain","workflows","Maintained source/construction and diagnostic workflows"
".gitignore","required root-level repository infrastructure","retain",".gitignore","Canonical repository metadata"
"AGENTS.md","documentation","retain","AGENTS.md","Canonical project-level documentation"
"MODEL_SPEC.md","documentation","retain","MODEL_SPEC.md","Canonical project-level documentation"
"README.md","documentation","retain","README.md","Canonical project-level documentation"
"run_all.m","required root-level entry point","retain","run_all.m","Existing documented public runner; moving reduces clarity"
"run_stage_1.m","required root-level entry point","retain","run_stage_1.m","Existing documented public runner; moving reduces clarity"
"run_stage_2_kao_validation.m","required root-level entry point","retain","run_stage_2_kao_validation.m","Existing documented public runner; moving reduces clarity"
"run_stage_2.m","required root-level entry point","retain","run_stage_2.m","Existing documented public runner; moving reduces clarity"
"run_stage_3_finalize.m","required root-level entry point","retain","run_stage_3_finalize.m","Existing documented public runner; moving reduces clarity"
"run_stage_3_recovery.m","required root-level entry point","retain","run_stage_3_recovery.m","Existing documented public runner; moving reduces clarity"
"run_stage_3.m","required root-level entry point","retain","run_stage_3.m","Existing documented public runner; moving reduces clarity"
"stage3_code_preflight.log","stale/temporary material","delete","none","Zero-byte scratch execution log; no evidence content"
"stage3_derivation_preflight.log","provenance/audit artifact","move","artifacts\manifests\stage3_cortical_state_feasibility\execution_logs\stage3_derivation_preflight.log","Preserve historical execution evidence outside sparse root"
"stage3_diagnostic2_headroom_review.log","stale/temporary material","delete","none","Zero-byte scratch execution log; no evidence content"
"stage3_evidence_recovery.log","provenance/audit artifact","move","artifacts\manifests\stage3_cortical_state_feasibility\execution_logs\stage3_evidence_recovery.log","Preserve historical execution evidence outside sparse root"
"stage3_final_validation.log","provenance/audit artifact","move","artifacts\manifests\stage3_cortical_state_feasibility\execution_logs\stage3_final_validation.log","Preserve historical execution evidence outside sparse root"
"stage3_finalization_code_mask_fixed.log","stale/temporary material","delete","none","Zero-byte scratch execution log; no evidence content"
"stage3_finalization_code_mask_test.log","provenance/audit artifact","move","artifacts\manifests\stage3_cortical_state_feasibility\execution_logs\stage3_finalization_code_mask_test.log","Preserve historical execution evidence outside sparse root"
"stage3_finalize_evidence.log","provenance/audit artifact","move","artifacts\manifests\stage3_cortical_state_feasibility\execution_logs\stage3_finalize_evidence.log","Preserve historical execution evidence outside sparse root"
"stage3_independent_recovery_audit.log","provenance/audit artifact","move","artifacts\manifests\stage3_cortical_state_feasibility\execution_logs\stage3_independent_recovery_audit.log","Preserve historical execution evidence outside sparse root"
"stage3_output_code_review.log","provenance/audit artifact","move","artifacts\manifests\stage3_cortical_state_feasibility\execution_logs\stage3_output_code_review.log","Preserve historical execution evidence outside sparse root"
"stage3_recovery_audit_code_fixed.log","stale/temporary material","delete","none","Zero-byte scratch execution log; no evidence content"
"stage3_recovery_audit_code.log","provenance/audit artifact","move","artifacts\manifests\stage3_cortical_state_feasibility\execution_logs\stage3_recovery_audit_code.log","Preserve historical execution evidence outside sparse root"
"stage3_recovery_figures_exports_fixed.log","provenance/audit artifact","move","artifacts\manifests\stage3_cortical_state_feasibility\execution_logs\stage3_recovery_figures_exports_fixed.log","Preserve historical execution evidence outside sparse root"
"stage3_recovery_figures_exports.log","provenance/audit artifact","move","artifacts\manifests\stage3_cortical_state_feasibility\execution_logs\stage3_recovery_figures_exports.log","Preserve historical execution evidence outside sparse root"
"stage3_recovery_final_validation.log","provenance/audit artifact","move","artifacts\manifests\stage3_cortical_state_feasibility\execution_logs\stage3_recovery_final_validation.log","Preserve historical execution evidence outside sparse root"
"stage3_recovery_inventory.log","provenance/audit artifact","move","artifacts\manifests\stage3_cortical_state_feasibility\execution_logs\stage3_recovery_inventory.log","Preserve historical execution evidence outside sparse root"
"stage3_recovery_preflight.log","provenance/audit artifact","move","artifacts\manifests\stage3_cortical_state_feasibility\execution_logs\stage3_recovery_preflight.log","Preserve historical execution evidence outside sparse root"
"stage3_reference.log","provenance/audit artifact","move","artifacts\manifests\stage3_cortical_state_feasibility\execution_logs\stage3_reference.log","Preserve historical execution evidence outside sparse root"
"stage3_sweep.log","provenance/audit artifact","move","artifacts\manifests\stage3_cortical_state_feasibility\execution_logs\stage3_sweep.log","Preserve historical execution evidence outside sparse root"
"THIRD_PARTY_PROVENANCE.md","documentation","retain","THIRD_PARTY_PROVENANCE.md","Canonical project-level documentation"
